"Materia","Voto","Quadrimestre","Data","Note","Peso","Anno"
"Educazione Civica","10","1","2026-01-16","Pratico","100","2025/26"
"Educazione Civica","7","1","2025-11-10","Orale - Team building","100","2025/26"
"Educazione Civica","7","1","2025-11-06","Scritto/Grafico - Conflitto Arabo-Israeliano","100","2025/26"
"Informatica","10","2","2026-03-17","Pratico","100","2025/26"
"Informatica","10","2","2026-03-16","Orale","100","2025/26"
"Informatica","10","2","2026-03-10","Pratico","50","2025/26"
"Informatica","10","2","2026-03-02","Pratico","100","2025/26"
"Informatica","10","1","2026-01-15","Orale - Valutazione compendio","100","2025/26"
"Informatica","10","1","2025-11-14","Pratico - Competenze eccellenti","100","2025/26"
"Informatica","7","1","2025-10-28","Pratico - Compilazione progetto aeroporto","100","2025/26"
"Informatica","10","1","2025-09-16","Pratico","80","2025/26"
"Lingua e Letteratura Italiana","8.5","2","2026-03-19","Orale - Neoclassicismo Foscolo Romanticismo Manzoni","100","2025/26"
"Lingua e Letteratura Italiana","6.5","2","2026-03-17","Scritto/Grafico - Tip. A A Zacinto di Foscolo","100","2025/26"
"Lingua e Letteratura Italiana","9","1","2025-12-05","Orale - Illuminismo","100","2025/26"
"Lingua e Letteratura Italiana","6.5","1","2025-11-20","Scritto/Grafico - Tipologia B-C","100","2025/26"
"Lingua e Letteratura Italiana","6.5","1","2025-10-30","Scritto/Grafico - Tipologia B-C","100","2025/26"
"Lingua e Letteratura Italiana","7.5","1","2025-10-09","Orale - Barocco","100","2025/26"
"Scienze Motorie e Sportive","8","2","2026-03-02","Pratico - Salto in lungo da fermo","100","2025/26"
"Scienze Motorie e Sportive","7","2","2026-02-09","Orale - Relazione sport individuale","100","2025/26"
"Scienze Motorie e Sportive","7","1","2025-12-15","Pratico - Lancio palla medica","100","2025/26"
"Scienze Motorie e Sportive","8","1","2025-10-27","Pratico - Test forza e resistenza","100","2025/26"
"Storia","10","2","2026-03-19","Orale - Rivoluzioni francese americana Napoleone","100","2025/26"
"Storia","9","1","2025-12-05","Orale - Illuminismo","100","2025/26"
"Storia","7","1","2025-11-06","Scritto/Grafico - Conflitto Arabo-Israeliano","100","2025/26"
"Storia","8","1","2025-10-09","Orale - Barocco","100","2025/26"
"Lingua Inglese","7","2","2026-03-03","Scritto/Grafico","100","2025/26"
"Lingua Inglese","9","1","2026-01-29","Orale","100","2025/26"
"Lingua Inglese","9","1","2025-12-15","Pratico - Group works on Java","100","2025/26"
"Lingua Inglese","8","1","2025-12-01","Orale","100","2025/26"
"Lingua Inglese","9","1","2025-11-17","Scritto/Grafico","100","2025/26"
"Lingua Inglese","8","1","2025-10-27","Orale","100","2025/26"
"Lingua Inglese","6","1","2025-09-29","Scritto/Grafico","100","2025/26"
"Matematica","10","2","2026-03-06","Scritto/Grafico","100","2025/26"
"Matematica","10","2","2026-02-09","Orale","100","2025/26"
"Matematica","7.5","1","2026-01-09","Scritto/Grafico","100","2025/26"
"Matematica","9","1","2025-12-10","Orale","100","2025/26"
"Matematica","7","1","2025-11-07","Scritto/Grafico","100","2025/26"
"Sistemi e Reti","8","1","2025-12-17","Scritto/Grafico","100","2025/26"
"Sistemi e Reti","7.5","1","2025-12-17","Scritto/Grafico","100","2025/26"
"Sistemi e Reti","7","1","2025-11-04","Scritto/Grafico","100","2025/26"
"Sistemi e Reti","6.5","1","2025-11-04","Scritto/Grafico","100","2025/26"
"TPSIT","9","2","2026-03-13","Pratico - Semafori presentazione e demo","100","2025/26"
"TPSIT","9","1","2025-12-18","Scritto/Grafico - Deadlock e Diagrammi di Holt","100","2025/26"
"TPSIT","9","1","2025-12-12","Pratico - Progetto TPSIT Demo Lab","20","2025/26"
"TPSIT","8","1","2025-11-28","Orale - Cisco IT Essentials Moduli 10-14","20","2025/26"
"TPSIT","8","1","2025-11-07","Scritto/Grafico - Compito sui Processi","100","2025/26"
"Telecomunicazioni","9","2","2026-02-18","Scritto/Grafico","100","2025/26"
"Telecomunicazioni","7.5","1","2025-12-22","Scritto/Grafico","100","2025/26"
"Telecomunicazioni","6.5","1","2025-11-17","Scritto/Grafico","100","2025/26"
